sample_id,fold,sample_index,degradation,strength,target_side,vif
fold3_1675,3,1675,defocus,0.0,,1
fold2_2018,2,2018,defocus,0.0,,1
fold2_1107,2,1107,defocus,0.0,,1
fold1_1791,1,1791,defocus,0.0,,1
fold2_2182,2,2182,defocus,0.0,,1
fold3_0989,3,989,defocus,0.0,,1
fold3_2507,3,2507,defocus,0.0,,1
fold1_1784,1,1784,defocus,0.0,,1
fold3_2321,3,2321,defocus,0.0,,1
fold1_2466,1,2466,defocus,0.0,,1
fold3_2576,3,2576,defocus,0.0,,1
fold3_1456,3,1456,defocus,0.0,,1
fold2_1764,2,1764,defocus,0.0,,1
fold2_0955,2,955,defocus,0.0,,1
fold2_2128,2,2128,defocus,0.0,,1
fold2_1219,2,1219,defocus,0.0,,1
fold2_1980,2,1980,defocus,0.0,,1
fold1_1289,1,1289,defocus,0.0,,1
fold2_1562,2,1562,defocus,0.0,,1
fold3_2577,3,2577,defocus,0.0,,1
fold1_1283,1,1283,defocus,0.0,,1
fold3_2482,3,2482,defocus,0.0,,1
fold3_1577,3,1577,defocus,0.0,,1
fold3_2583,3,2583,defocus,0.0,,1
fold3_1559,3,1559,defocus,0.0,,1
fold1_2074,1,2074,defocus,0.0,,1
fold2_1094,2,1094,defocus,0.0,,1
fold1_1033,1,1033,defocus,0.0,,1
fold3_2605,3,2605,defocus,0.0,,1
fold3_1560,3,1560,defocus,0.0,,1
fold1_2459,1,2459,defocus,0.0,,1
fold2_0991,2,991,defocus,0.0,,1
fold1_1036,1,1036,defocus,0.0,,1
fold3_1598,3,1598,defocus,0.0,,1
fold2_0499,2,499,defocus,0.0,,1
fold1_1155,1,1155,defocus,0.0,,1
fold1_2530,1,2530,defocus,0.0,,1
fold1_0873,1,873,defocus,0.0,,1
fold1_2081,1,2081,defocus,0.0,,1
fold3_2325,3,2325,defocus,0.0,,1
fold2_2051,2,2051,defocus,0.0,,1
